vendor_id,vendor_name,category,region,country,diversity_classification,is_preferred,is_strategic,risk_score,risk_tier,onboarded_date,vendor_tenure_years,lifetime_po_count,lifetime_spend,first_po_date,last_po_date,days_since_last_po,total_contracts,active_contracts,latest_contract_end_date,vendor_activity_status,has_active_contract
V00152,Lewis-Salinas,Logistics,Latin America,Argentina,,False,False,13,Low,2020-01-16,6,2,13166.2,2024-04-17,2025-11-19,301.0,0,0,,Dormant,False
V00153,"Haynes, Hill and Smith",Professional Services,North America,Canada,Women-Owned,False,False,21,Low,2023-09-08,3,9,174314.11,2024-01-02,2025-11-14,306.0,1,0,2025-11-11,Dormant,False
V00154,Allen Group,Raw Materials,Asia Pacific,Australia,,False,False,13,Low,2020-12-05,6,14,216643.82,2024-01-13,2025-10-27,324.0,3,1,2026-11-11,Dormant,True
V00155,Vaughn Ltd,Raw Materials,Asia Pacific,India,Small Business,False,False,6,Low,2022-04-08,4,11,136239.76,2024-04-14,2025-12-23,267.0,2,0,2026-04-29,Dormant,False
V00156,Mcguire-Davis,Professional Services,Asia Pacific,Australia,,False,True,57,Medium,2019-05-01,7,8,343153.01,2024-01-22,2025-09-10,371.0,3,2,2028-05-01,Dormant,True
V00157,"Sanchez, Beck and Wood",Marketing,Latin America,Chile,,False,False,16,Low,2021-04-27,5,2,23547.4,2024-02-26,2024-05-25,844.0,0,0,,Dormant,False
V00158,Coleman-Reese,Travel,Latin America,Chile,,False,False,48,Medium,2019-12-26,7,20,116564.19,2024-01-21,2025-12-11,279.0,3,2,2028-06-26,Dormant,True
V00159,"Chavez, Parker and Hall",IT Services,Europe,Italy,,False,False,22,Low,2022-04-29,4,11,330824.24,2024-04-27,2025-11-17,303.0,3,2,2027-09-05,Dormant,True
V00160,Wilson-Herrera,Logistics,Europe,Germany,Women-Owned,False,False,37,Low,2022-07-28,4,13,236976.95,2024-07-10,2025-12-22,268.0,2,0,2025-07-13,Dormant,False
V00161,Lee Ltd,Raw Materials,Asia Pacific,India,,False,False,38,Low,2020-11-26,6,3,22938.33,2024-02-10,2024-11-14,671.0,0,0,,Dormant,False
V00162,"Lawrence, Wolf and Carlson",IT Services,Europe,Italy,Women-Owned,False,False,29,Low,2023-11-18,3,1,10483.12,2025-10-19,2025-10-19,332.0,0,0,,Dormant,False
V00163,Phillips LLC,Professional Services,Europe,France,Women-Owned,False,False,35,Low,2019-01-28,7,4,241834.72,2025-01-08,2025-06-30,443.0,0,0,,Dormant,False
V00164,Erickson and Sons,Professional Services,Asia Pacific,China,,True,False,36,Low,2019-08-24,7,11,272561.74,2024-01-02,2025-11-15,305.0,1,0,2025-03-15,Dormant,False
V00165,Tran Ltd,Professional Services,Latin America,Argentina,,False,True,75,High,2023-08-30,3,13,297634.65,2024-05-01,2025-12-18,272.0,2,1,2027-06-04,Dormant,True
V00166,"Oneill, Henry and Salas",Raw Materials,Latin America,Chile,,False,False,5,Low,2021-06-11,5,15,159242.37,2024-03-24,2025-12-13,277.0,1,1,2027-06-27,Dormant,True
V00167,Mendoza-Peterson,Marketing,Asia Pacific,China,,False,False,15,Low,2023-10-16,3,1,3475.41,2025-09-14,2025-09-14,367.0,0,0,,Dormant,False
V00168,Everett-Woods,Facilities,Asia Pacific,Australia,,True,False,69,Medium,2022-12-06,4,19,107602.74,2024-02-05,2025-12-25,265.0,2,1,2026-12-15,Dormant,True
V00169,Vasquez-Ray,Capital Equipment,Asia Pacific,Singapore,,True,True,4,Low,2022-02-12,4,125,8714258.53,2024-01-04,2025-12-25,265.0,2,1,2027-01-10,Dormant,True
V00170,Hernandez PLC,Office Supplies,North America,USA,,False,False,18,Low,2023-09-10,3,2,15076.63,2024-05-04,2025-12-31,259.0,0,0,,Dormant,False
V00171,Mcknight Inc,Professional Services,Latin America,Argentina,,False,False,27,Low,2021-05-07,5,23,605075.53,2024-01-07,2025-12-22,268.0,1,0,2025-04-19,Dormant,False
V00172,Obrien-Gibbs,IT Services,Latin America,Argentina,,False,True,32,Low,2019-05-10,7,14,367971.1,2024-01-03,2025-11-21,299.0,1,0,2025-07-06,Dormant,False
V00173,"James, Kerr and Evans",Professional Services,Latin America,Chile,Veteran-Owned,False,True,48,Medium,2021-07-12,5,15,414997.89,2024-01-01,2025-11-17,303.0,1,1,2027-10-19,Dormant,True
V00174,Torres-Oliver,Logistics,Asia Pacific,China,,False,False,31,Low,2021-08-28,5,6,67649.63,2024-01-23,2025-07-16,427.0,2,0,2025-08-20,Dormant,False
V00175,"Garcia, Farmer and Garrett",Marketing,Latin America,Brazil,,False,False,49,Medium,2019-08-03,7,2,2848.13,2024-09-06,2025-10-26,325.0,0,0,,Dormant,False
V00176,Moore and Sons,IT Services,Asia Pacific,India,Small Business,False,False,18,Low,2021-04-23,5,7,175949.41,2024-02-02,2025-12-22,268.0,1,0,2025-07-09,Dormant,False
V00177,Smith Group,Marketing,Europe,Italy,,False,False,85,High,2022-02-18,4,15,121749.71,2024-01-10,2025-12-22,268.0,2,1,2026-11-04,Dormant,True
V00178,Carter-Hall,IT Services,North America,Canada,Minority-Owned,True,False,43,Medium,2022-03-29,4,11,717519.52,2024-04-09,2025-07-29,414.0,3,1,2026-10-12,Dormant,True
V00179,"Heath, Jones and Hall",Professional Services,Europe,Germany,,True,True,22,Low,2019-08-03,7,15,383705.85,2024-03-09,2025-10-29,322.0,2,0,2026-07-10,Dormant,False
V00180,"Lawrence, Lara and Gonzalez",Marketing,Europe,Italy,,False,True,12,Low,2018-09-09,8,19,87369.36,2024-01-01,2025-12-18,272.0,1,0,2025-07-25,Dormant,False
V00181,Holland LLC,MRO,North America,Mexico,,False,False,56,Medium,2022-12-16,4,19,110914.41,2024-03-06,2025-10-29,322.0,1,1,2027-05-06,Dormant,True
V00182,Brown LLC,Raw Materials,Latin America,Argentina,,False,False,13,Low,2021-07-27,5,13,148799.24,2024-04-01,2025-11-15,305.0,1,0,2024-03-04,Dormant,False
V00183,"Morse, Gonzales and Harrison",Capital Equipment,Asia Pacific,Singapore,,True,False,18,Low,2019-10-28,7,9,294162.83,2024-04-09,2025-10-17,334.0,1,0,2024-10-07,Dormant,False
V00184,Bender-Mason,Marketing,Latin America,Argentina,,False,False,27,Low,2020-12-17,6,16,62896.78,2024-03-12,2025-12-22,268.0,3,0,2026-03-20,Dormant,False
V00185,George Group,Capital Equipment,Asia Pacific,Australia,,True,False,25,Low,2022-05-28,4,10,713260.55,2025-01-01,2025-12-17,273.0,1,0,2024-05-08,Dormant,False
V00186,"Wright, Davis and Hayden",Raw Materials,Asia Pacific,Singapore,Small Business,False,False,17,Low,2023-01-05,3,16,203757.13,2024-01-10,2025-12-13,277.0,2,1,2027-04-08,Dormant,True
V00187,"Matthews, Smith and Hubbard",Logistics,North America,Mexico,,False,False,39,Low,2022-12-04,4,12,256082.36,2024-02-17,2025-12-27,263.0,1,1,2026-11-19,Dormant,True
V00188,"Williams, Avila and Ruiz",Raw Materials,Europe,Netherlands,,False,False,13,Low,2021-11-27,5,0,0.0,,,,0,0,,Inactive,False
V00189,White-Richards,Raw Materials,Latin America,Argentina,,False,False,46,Medium,2021-10-22,5,1,24691.99,2024-02-05,2024-02-05,954.0,0,0,,Dormant,False
V00190,Costa-Harrison,Professional Services,Europe,Netherlands,,False,True,61,Medium,2020-06-13,6,1,2708.18,2024-12-21,2024-12-21,634.0,0,0,,Dormant,False
V00191,Santiago-Hodge,IT Services,Asia Pacific,India,,False,False,30,Low,2019-12-24,7,2,29686.19,2024-10-19,2025-10-31,320.0,0,0,,Dormant,False
V00192,"Simpson, Bates and Morales",Professional Services,North America,Canada,,False,False,31,Low,2022-07-24,4,2,274924.08,2025-01-17,2025-08-01,411.0,0,0,,Dormant,False
V00193,Gibson LLC,Capital Equipment,North America,Canada,,False,False,13,Low,2019-07-07,7,8,352690.67,2024-04-15,2025-12-06,284.0,3,1,2027-12-15,Dormant,True
V00194,Cordova Group,IT Services,Latin America,Brazil,Minority-Owned,False,False,72,Medium,2023-03-10,3,9,136494.46,2024-03-14,2025-12-19,271.0,2,0,2026-01-01,Dormant,False
V00195,Sandoval PLC,IT Services,Asia Pacific,Australia,,False,False,11,Low,2020-10-08,6,9,101843.56,2024-03-20,2025-12-19,271.0,2,1,2027-06-24,Dormant,True
V00196,Lopez LLC,MRO,North America,Mexico,Women-Owned,False,False,28,Low,2021-09-25,5,23,162404.69,2024-03-18,2025-12-18,272.0,1,0,2024-05-20,Dormant,False
V00197,Garrett-Wolf,IT Services,Asia Pacific,Japan,,False,False,51,Medium,2019-03-22,7,9,149570.34,2024-03-08,2025-08-05,407.0,2,0,2026-01-04,Dormant,False
V00198,"Anderson, Roberts and Gilmore",Logistics,North America,USA,,False,True,15,Low,2020-11-27,6,6,90645.19,2024-11-09,2025-11-14,306.0,1,1,2026-12-25,Dormant,True
V00199,Dudley PLC,Raw Materials,Latin America,Chile,,False,False,94,High,2022-10-17,4,9,103038.37,2024-06-09,2025-12-19,271.0,1,0,2026-02-08,Dormant,False
V00200,"Moore, Pierce and Tran",Professional Services,North America,USA,,False,True,13,Low,2018-07-24,8,19,860811.65,2024-02-14,2025-11-17,303.0,2,1,2027-04-18,Dormant,True
V00201,Murray Inc,IT Services,Latin America,Argentina,,False,False,38,Low,2021-11-19,5,5,71995.22,2024-05-19,2025-10-02,349.0,2,1,2027-02-03,Dormant,True
V00202,Jimenez Ltd,IT Services,North America,Canada,,False,False,46,Medium,2019-10-02,7,3,37376.18,2024-01-16,2024-12-06,649.0,0,0,,Dormant,False
V00203,"Hill, Davenport and Baird",Raw Materials,Asia Pacific,China,,False,True,12,Low,2019-06-18,7,7,91724.04,2024-10-17,2025-10-24,327.0,2,0,2026-01-09,Dormant,False
V00204,"Thomas, Lee and Greene",IT Services,Europe,UK,,False,False,5,Low,2022-06-23,4,12,210366.18,2024-06-30,2025-09-14,367.0,2,1,2027-06-01,Dormant,True
V00205,Shields LLC,Raw Materials,Latin America,Brazil,,False,False,1,Low,2022-08-20,4,13,193154.47,2024-07-15,2025-11-30,290.0,1,0,2024-10-12,Dormant,False
V00206,Morgan-French,Raw Materials,Asia Pacific,China,,False,False,15,Low,2019-08-09,7,0,0.0,,,,0,0,,Inactive,False
V00207,Campbell LLC,Raw Materials,North America,Canada,,False,False,26,Low,2023-01-09,3,12,174951.17,2024-01-07,2025-11-13,307.0,1,0,2026-07-16,Dormant,False
V00208,"Duarte, Burns and Hernandez",Professional Services,North America,Canada,,False,False,52,Medium,2021-03-25,5,2,22324.12,2025-10-19,2025-12-27,263.0,0,0,,Dormant,False
V00209,Cook-Hines,Logistics,Asia Pacific,China,,True,False,30,Low,2020-04-06,6,5,48133.62,2024-05-11,2025-12-10,280.0,1,0,2025-04-11,Dormant,False
V00210,Kane-Pollard,Professional Services,North America,Canada,Women-Owned,False,False,25,Low,2019-06-07,7,15,401976.22,2024-03-09,2025-12-03,287.0,2,0,2026-07-05,Dormant,False
V00211,Hall-Rowe,MRO,North America,Mexico,,False,False,40,Medium,2018-04-06,8,13,157807.53,2024-03-19,2025-12-03,287.0,1,0,2026-06-01,Dormant,False
V00212,"Kennedy, Mcintyre and James",MRO,Asia Pacific,India,,True,False,36,Low,2023-12-05,3,10,26945.99,2024-01-28,2025-12-11,279.0,3,0,2026-05-05,Dormant,False
V00213,"Pollard, Simpson and Johnson",Logistics,North America,USA,Veteran-Owned,False,False,22,Low,2021-01-05,5,2,41220.32,2025-01-09,2025-04-16,518.0,0,0,,Dormant,False
V00214,"Rivera, Garcia and Kirk",Raw Materials,Latin America,Argentina,Women-Owned,False,False,9,Low,2018-08-07,8,11,136843.77,2024-06-07,2025-12-14,276.0,2,1,2028-02-10,Dormant,True
V00215,Smith-Thomas,Logistics,Asia Pacific,India,,False,False,42,Medium,2023-03-23,3,2,14523.09,2025-01-20,2025-05-25,479.0,0,0,,Dormant,False
V00216,Jones LLC,Marketing,North America,Canada,,False,False,30,Low,2020-01-12,6,12,69851.75,2024-02-19,2025-10-03,348.0,2,1,2026-12-15,Dormant,True
V00217,"Sanders, Miller and Murphy",IT Services,Asia Pacific,China,,False,True,8,Low,2022-01-16,4,1,10528.8,2024-05-22,2024-05-22,847.0,0,0,,Dormant,False
V00218,"James, Stewart and Higgins",Raw Materials,Latin America,Chile,,False,False,31,Low,2022-07-22,4,3,41485.77,2024-08-06,2025-06-14,459.0,0,0,,Dormant,False
V00219,"Johnson, Jones and Welch",IT Services,Europe,France,,False,False,17,Low,2023-07-10,3,10,381482.23,2024-01-06,2025-11-20,300.0,2,0,2025-07-15,Dormant,False
V00220,Francis Group,Raw Materials,Asia Pacific,China,,False,False,52,Medium,2023-11-13,3,8,161226.87,2024-05-09,2025-12-28,262.0,2,1,2027-06-05,Dormant,True
V00221,"Padilla, Garcia and Jackson",Raw Materials,Latin America,Argentina,,False,False,14,Low,2019-10-18,7,14,250426.2,2024-03-13,2025-11-30,290.0,1,0,2025-12-15,Dormant,False
V00222,Williams Inc,Professional Services,Latin America,Chile,,True,False,43,Medium,2019-10-05,7,20,800148.39,2024-01-19,2025-12-07,283.0,3,1,2026-11-30,Dormant,True
V00223,Jordan-Sanchez,Professional Services,Asia Pacific,China,,False,False,56,Medium,2020-06-21,6,17,413729.1,2024-10-23,2025-12-20,270.0,1,1,2027-01-11,Dormant,True
V00224,"Sparks, Jackson and Miller",Capital Equipment,Europe,France,,False,False,20,Low,2023-03-23,3,7,231286.07,2024-03-02,2025-10-30,321.0,1,0,2024-06-02,Dormant,False
V00225,"Vega, Jimenez and Aguilar",Professional Services,Latin America,Brazil,,False,False,26,Low,2019-05-24,7,12,555927.15,2024-03-30,2025-12-04,286.0,1,1,2027-12-19,Dormant,True
V00226,"King, Scott and Smith",Professional Services,Asia Pacific,India,,False,False,34,Low,2022-10-29,4,10,449071.91,2024-03-04,2025-12-07,283.0,2,1,2027-01-23,Dormant,True
V00227,Byrd-Moore,Logistics,North America,Mexico,,False,True,30,Low,2020-08-25,6,6,107817.3,2024-03-03,2025-05-07,497.0,1,1,2026-09-16,Dormant,True
V00228,Huerta-Evans,Professional Services,Europe,France,Women-Owned,False,False,7,Low,2023-10-08,3,9,356872.97,2024-05-29,2025-10-23,328.0,2,0,2026-07-13,Dormant,False
V00229,"Wright, Bruce and Gonzalez",IT Services,North America,Canada,Minority-Owned,True,False,20,Low,2020-04-22,6,10,423170.78,2024-01-10,2025-10-18,333.0,1,0,2024-03-19,Dormant,False
V00230,Rodriguez-James,Marketing,North America,Mexico,,False,False,46,Medium,2020-02-26,6,9,47832.7,2024-05-02,2025-11-20,300.0,2,1,2028-04-20,Dormant,True
V00231,Haney-Phillips,Professional Services,Europe,UK,Minority-Owned,False,False,22,Low,2023-11-12,3,9,256664.82,2024-08-15,2025-12-02,288.0,1,0,2025-03-07,Dormant,False
V00232,"Foster, Smith and Grimes",IT Services,Latin America,Brazil,,False,False,56,Medium,2022-09-01,4,10,223425.88,2024-04-06,2025-09-07,374.0,1,0,2024-03-10,Dormant,False
V00233,Lozano Ltd,Raw Materials,Asia Pacific,Singapore,,False,False,45,Medium,2020-12-23,6,17,291783.25,2024-04-14,2025-11-27,293.0,2,1,2028-01-21,Dormant,True
V00234,Parsons-Hall,Marketing,Europe,France,,False,False,22,Low,2022-10-23,4,25,131033.11,2024-01-08,2025-12-19,271.0,1,0,2026-03-02,Dormant,False
V00235,Fields PLC,MRO,Latin America,Argentina,,False,False,19,Low,2019-07-03,7,27,187278.03,2024-01-09,2025-12-01,289.0,2,0,2026-07-27,Dormant,False
V00236,"Saunders, Becker and Taylor",Marketing,Europe,France,,False,False,11,Low,2018-08-01,8,3,23498.77,2024-09-27,2025-12-18,272.0,0,0,,Dormant,False
V00237,"Lucas, Parker and Alexander",Facilities,North America,Canada,,False,False,11,Low,2021-06-23,5,3,22359.93,2024-11-17,2025-07-31,412.0,0,0,,Dormant,False
V00238,"Anderson, Browning and Murphy",Raw Materials,Latin America,Brazil,Women-Owned,False,False,22,Low,2020-06-28,6,9,253314.29,2024-04-17,2025-11-17,303.0,1,0,2025-05-31,Dormant,False
V00239,Anderson PLC,Professional Services,North America,Canada,,False,False,17,Low,2023-04-04,3,17,448530.07,2024-01-05,2025-12-20,270.0,3,2,2027-11-26,Dormant,True
V00240,Schmidt-Mcintyre,Office Supplies,Asia Pacific,India,,False,False,23,Low,2022-12-24,4,17,155365.89,2024-01-14,2025-11-09,311.0,2,0,2025-01-22,Dormant,False
V00241,Sloan-Raymond,Logistics,Europe,UK,,False,False,43,Medium,2023-10-20,3,8,156043.41,2024-04-01,2025-08-17,395.0,3,0,2026-03-07,Dormant,False
V00242,Francis-Morgan,Marketing,Latin America,Chile,,False,True,30,Low,2018-09-10,8,6,13221.49,2024-05-12,2025-11-10,310.0,0,0,,Dormant,False
V00243,Taylor and Sons,IT Services,Europe,Italy,Women-Owned,False,False,41,Medium,2023-02-27,3,9,197228.69,2024-01-01,2025-10-06,345.0,2,0,2026-07-23,Dormant,False
V00244,"Craig, Sanders and Singleton",MRO,Europe,France,,False,False,23,Low,2021-05-05,5,3,15671.9,2024-03-17,2025-11-26,294.0,0,0,,Dormant,False
V00245,Gibbs Inc,Logistics,North America,USA,Minority-Owned,False,False,30,Low,2019-08-03,7,9,141006.24,2024-04-26,2025-12-31,259.0,1,0,2025-10-03,Dormant,False
V00246,Gibson Ltd,Logistics,Europe,UK,,True,False,22,Low,2022-06-29,4,8,133527.04,2024-07-10,2025-10-31,320.0,1,0,2025-05-17,Dormant,False
V00247,Richards-Carson,Raw Materials,Europe,Germany,,False,False,22,Low,2023-08-22,3,14,184634.75,2024-06-02,2025-10-29,322.0,1,0,2025-07-10,Dormant,False
V00248,Leonard Group,Raw Materials,North America,Canada,Women-Owned,True,False,60,Medium,2018-02-24,8,14,154382.38,2024-01-06,2025-06-22,451.0,2,0,2025-05-28,Dormant,False
V00249,"Murphy, Bishop and Holland",Professional Services,North America,Canada,Minority-Owned,False,False,82,High,2021-10-23,5,12,299809.28,2024-02-24,2025-11-18,302.0,2,2,2027-05-30,Dormant,True
V00250,Blankenship-Turner,Logistics,Asia Pacific,India,,False,False,33,Low,2020-06-13,6,7,149403.48,2024-05-08,2025-11-04,316.0,3,1,2027-10-02,Dormant,True
V00251,Williams Inc,IT Services,Latin America,Argentina,,False,False,15,Low,2019-10-29,7,13,215505.26,2024-01-07,2025-12-28,262.0,2,0,2026-03-29,Dormant,False
V00252,Wilson-Young,MRO,Latin America,Brazil,,True,False,58,Medium,2021-03-23,5,6,53401.71,2024-03-31,2025-10-07,344.0,0,0,,Dormant,False
V00253,Chavez-Santiago,IT Services,Asia Pacific,Australia,,False,False,13,Low,2022-06-16,4,6,106937.61,2024-09-12,2025-11-28,292.0,0,0,,Dormant,False
V00254,"Barnes, Newton and Moore",IT Services,Europe,France,,False,False,14,Low,2020-06-27,6,12,194575.98,2024-03-18,2025-12-14,276.0,2,1,2027-05-19,Dormant,True
V00255,Bass PLC,Professional Services,North America,Canada,,False,False,46,Medium,2020-06-12,6,16,479675.14,2024-02-07,2025-12-08,282.0,1,0,2025-04-22,Dormant,False
V00256,Johnson-Wood,Facilities,Asia Pacific,India,,False,False,34,Low,2020-08-29,6,9,50354.55,2024-06-30,2025-12-02,288.0,3,1,2026-11-08,Dormant,True
V00257,Foley Inc,Raw Materials,North America,Mexico,,False,False,22,Low,2023-11-19,3,9,86689.58,2024-05-24,2025-12-11,279.0,2,1,2026-12-21,Dormant,True
V00258,Stephens-Levine,IT Services,Asia Pacific,Japan,,False,False,75,High,2020-02-25,6,2,95320.86,2024-06-05,2024-09-24,722.0,0,0,,Dormant,False
V00259,Hill-Donaldson,Raw Materials,Latin America,Brazil,,False,True,25,Low,2023-09-10,3,11,94635.01,2024-01-01,2025-08-24,388.0,2,1,2027-05-31,Dormant,True
V00260,Davis-Lewis,Capital Equipment,Asia Pacific,Australia,Small Business,False,False,19,Low,2021-11-01,5,1,22546.63,2025-10-16,2025-10-16,335.0,0,0,,Dormant,False
V00261,Williams LLC,Facilities,North America,Mexico,,False,False,21,Low,2019-06-18,7,12,160825.17,2024-04-14,2025-11-07,313.0,1,0,2025-06-19,Dormant,False
V00262,Buchanan and Sons,Logistics,North America,USA,Minority-Owned,False,False,54,Medium,2018-05-31,8,4,105234.54,2024-06-27,2025-12-18,272.0,1,0,2025-12-10,Dormant,False
V00263,"Clark, Robinson and Kane",IT Services,Europe,France,,False,True,43,Medium,2019-12-21,7,7,130238.36,2024-03-21,2025-12-30,260.0,2,0,2026-05-19,Dormant,False
V00264,Kramer PLC,IT Services,Latin America,Chile,,False,False,33,Low,2018-01-07,8,3,120936.31,2025-03-25,2025-12-14,276.0,0,0,,Dormant,False
V00265,Huerta PLC,Raw Materials,Latin America,Chile,,False,False,28,Low,2019-07-03,7,1,8511.92,2024-04-13,2024-04-13,886.0,0,0,,Dormant,False
V00266,Rodriguez Inc,MRO,Latin America,Argentina,,False,False,20,Low,2018-10-16,8,16,49284.76,2024-03-03,2025-11-13,307.0,3,1,2026-11-24,Dormant,True
V00267,Tyler-Young,Professional Services,Latin America,Brazil,Small Business,False,False,19,Low,2019-12-11,7,15,352387.63,2024-06-06,2025-12-23,267.0,1,1,2027-12-15,Dormant,True
V00268,Baker and Sons,Raw Materials,North America,USA,Minority-Owned,False,False,42,Medium,2022-06-13,4,9,133067.85,2024-03-16,2025-12-07,283.0,3,1,2027-03-20,Dormant,True
V00269,"Wilson, Brown and West",Raw Materials,North America,Mexico,Veteran-Owned,False,False,9,Low,2020-03-03,6,8,68714.42,2024-05-05,2025-11-24,296.0,3,0,2026-07-28,Dormant,False
V00270,"Rodriguez, Gordon and Dougherty",MRO,Asia Pacific,Japan,Minority-Owned,False,False,6,Low,2018-04-05,8,0,0.0,,,,0,0,,Inactive,False
V00271,"Boyd, Ellis and Maynard",Logistics,Asia Pacific,Australia,,False,False,37,Low,2018-05-14,8,2,42471.01,2025-11-30,2025-12-06,284.0,0,0,,Dormant,False
V00272,Boone-Simmons,Professional Services,Latin America,Brazil,,False,False,18,Low,2018-08-25,8,14,407241.55,2024-02-06,2025-12-19,271.0,1,0,2025-12-04,Dormant,False
V00273,"Browning, Jones and Miller",Office Supplies,Europe,Italy,Women-Owned,True,False,46,Medium,2021-08-25,5,20,113696.42,2024-08-06,2025-12-13,277.0,1,0,2025-08-10,Dormant,False
V00274,Martinez PLC,MRO,Latin America,Argentina,,False,False,44,Medium,2021-10-18,5,5,37661.21,2024-02-27,2025-07-05,438.0,0,0,,Dormant,False
V00275,"Joseph, James and Harper",IT Services,Asia Pacific,China,,False,False,27,Low,2019-10-08,7,11,199291.08,2024-08-01,2025-10-27,324.0,2,2,2026-12-26,Dormant,True
V00276,"Jacobs, Garcia and Miles",Capital Equipment,Europe,UK,,False,True,44,Medium,2023-02-11,3,8,1204444.99,2024-02-24,2025-11-26,294.0,3,1,2027-02-13,Dormant,True
V00277,"Rich, Arnold and Glenn",IT Services,Europe,France,,False,False,45,Medium,2020-07-30,6,0,0.0,,,,0,0,,Inactive,False
V00278,Gutierrez Group,Professional Services,Asia Pacific,China,,False,False,51,Medium,2020-05-23,6,17,392757.75,2024-03-30,2025-10-23,328.0,3,2,2028-05-21,Dormant,True
V00279,"Davis, Simmons and Ortega",IT Services,Asia Pacific,Australia,,False,False,19,Low,2020-03-30,6,14,404314.5,2024-04-19,2025-11-05,315.0,2,0,2026-08-17,Dormant,False
V00280,Mcdaniel Group,Facilities,Europe,UK,,False,False,5,Low,2018-05-28,8,2,9511.58,2025-08-27,2025-10-31,320.0,0,0,,Dormant,False
V00281,Davis Inc,Marketing,North America,USA,,False,False,1,Low,2022-06-19,4,17,130406.19,2024-04-03,2025-12-03,287.0,1,0,2026-09-10,Dormant,False
V00282,Cain-Hawkins,Professional Services,Europe,Italy,,False,False,44,Medium,2021-07-08,5,18,426931.67,2024-01-25,2025-12-03,287.0,1,1,2028-04-25,Dormant,True
V00283,"Hoffman, Santiago and Jenkins",Logistics,Asia Pacific,Japan,,False,False,25,Low,2023-03-29,3,4,51740.39,2024-06-26,2025-01-01,623.0,2,0,2026-03-27,Dormant,False
V00284,Parrish-Griffith,Professional Services,North America,Mexico,,False,False,12,Low,2023-10-22,3,23,573820.07,2024-04-07,2025-12-04,286.0,2,1,2027-08-28,Dormant,True
V00285,"Edwards, Garcia and Romero",IT Services,Europe,France,Women-Owned,False,False,29,Low,2018-12-05,8,9,395613.52,2024-01-29,2025-12-04,286.0,1,0,2025-06-03,Dormant,False
V00286,Walker-Rodriguez,Professional Services,Latin America,Brazil,,False,False,24,Low,2023-01-26,3,13,559172.54,2024-01-01,2025-11-12,308.0,1,1,2027-04-26,Dormant,True
V00287,Wilson-Ramirez,Professional Services,North America,Canada,,True,True,27,Low,2019-05-11,7,13,202292.1,2024-01-10,2025-12-29,261.0,1,0,2025-12-29,Dormant,False
V00288,Bruce-Villegas,Facilities,Latin America,Brazil,Veteran-Owned,False,False,23,Low,2022-11-28,4,19,140074.36,2024-02-10,2025-12-28,262.0,3,1,2027-12-04,Dormant,True
V00289,"Leonard, Hawkins and Lynch",Facilities,Asia Pacific,India,,False,False,39,Low,2021-12-11,5,17,115449.88,2024-01-30,2025-12-23,267.0,2,0,2025-07-15,Dormant,False
V00290,"Adams, White and Park",Raw Materials,Asia Pacific,Singapore,,False,False,83,High,2019-11-08,7,13,273132.35,2024-04-15,2025-12-27,263.0,1,1,2026-11-14,Dormant,True
V00291,Bell-White,Travel,Europe,Italy,,True,False,24,Low,2018-11-10,8,17,61240.7,2024-03-09,2025-12-23,267.0,2,0,2026-02-03,Dormant,False
V00292,"Morales, Thomas and Schultz",Capital Equipment,Latin America,Chile,,False,False,16,Low,2018-03-09,8,14,683861.5,2024-02-01,2025-10-26,325.0,1,1,2026-09-30,Dormant,True
V00293,"Moreno, Bennett and Chavez",Capital Equipment,Asia Pacific,Singapore,,False,False,36,Low,2018-12-11,8,9,724555.05,2024-06-10,2025-12-31,259.0,1,0,2025-12-22,Dormant,False
V00294,Griffith-Frank,IT Services,Asia Pacific,China,,False,False,15,Low,2021-05-28,5,5,78745.2,2024-01-06,2025-10-20,331.0,0,0,,Dormant,False
V00295,Ware and Sons,Marketing,North America,USA,Veteran-Owned,False,False,9,Low,2018-12-11,8,13,57140.89,2024-03-15,2025-12-13,277.0,2,1,2026-10-20,Dormant,True
V00296,"Williams, Miller and Ramos",Professional Services,Asia Pacific,India,,False,False,32,Low,2020-07-17,6,4,287769.11,2024-04-09,2025-09-17,364.0,0,0,,Dormant,False
V00297,"Ramos, Nelson and Fischer",IT Services,Europe,France,Minority-Owned,False,False,30,Low,2018-09-07,8,7,169974.77,2024-01-24,2025-09-06,375.0,1,0,2026-08-17,Dormant,False
V00298,Rodriguez-Gregory,Capital Equipment,Europe,France,Women-Owned,False,False,7,Low,2021-07-22,5,11,1347950.87,2024-03-07,2025-12-10,280.0,2,0,2026-05-30,Dormant,False
V00299,"Estrada, Williams and Foster",Logistics,Asia Pacific,Australia,,False,False,47,Medium,2021-08-05,5,9,103532.66,2024-05-19,2025-09-05,376.0,2,2,2027-02-23,Dormant,True
V00300,Harris and Sons,MRO,Asia Pacific,Singapore,Minority-Owned,False,False,31,Low,2022-08-08,4,25,140216.27,2024-02-06,2025-11-29,291.0,1,0,2025-01-20,Dormant,False
V00301,Roberts-Wilson,Travel,Asia Pacific,China,,False,False,20,Low,2020-12-25,6,2,23367.49,2025-06-15,2025-11-06,314.0,0,0,,Dormant,False
V00302,Thompson-James,Travel,Europe,Germany,,False,False,3,Low,2022-03-22,4,12,86112.44,2024-04-06,2025-10-27,324.0,2,0,2025-09-03,Dormant,False
