vendor_id,vendor_name,vendor_region,vendor_country,vendor_is_preferred,vendor_is_strategic,vendor_diversity_classification,vendor_risk_tier,vendor_risk_score,po_count,total_spend,avg_po_amount,first_po_date,last_po_date,maverick_spend,maverick_po_count,spend_share_pct,spend_rank,spend_tier,cumulative_spend_share_pct
V00163,Phillips LLC,Europe,France,False,False,Women-Owned,Low,35,4,241834.72,60458.68,2025-01-08,2025-06-30,241834.72,4,0.00201485,155,Tail,0.72922894
V00400,"Anderson, Henson and Jones",Latin America,Chile,False,False,,Low,23,10,241604.16,24160.416,2024-03-23,2025-10-26,14440.55,1,0.00201293,156,Tail,0.73124187
V00087,Garrison and Sons,Latin America,Brazil,False,False,,Low,21,17,239333.79,14078.45823529,2024-05-17,2025-12-18,118087.1,9,0.00199402,157,Tail,0.73323589
V00119,Nelson LLC,Asia Pacific,Japan,False,False,,Medium,45,10,237278.81,23727.881,2024-06-13,2025-11-15,15751.51,2,0.00197689,158,Tail,0.73521278
V00160,Wilson-Herrera,Europe,Germany,False,False,Women-Owned,Low,37,13,236976.95,18228.99615385,2024-07-10,2025-12-22,151335.78,9,0.00197438,159,Tail,0.73718716
V00010,"Martinez, Nielsen and Miller",North America,Mexico,False,False,,Low,37,11,235341.99,21394.72636364,2024-02-09,2025-12-05,70836.83,2,0.00196076,160,Tail,0.73914792
V00224,"Sparks, Jackson and Miller",Europe,France,False,False,,Low,20,7,231286.07,33040.86714286,2024-03-02,2025-10-30,196415.86,6,0.00192697,161,Tail,0.74107489
V00384,Jones Ltd,Latin America,Argentina,False,False,Minority-Owned,Medium,50,9,231040.81,25671.20111111,2024-09-05,2025-12-30,189514.6,6,0.00192492,162,Tail,0.74299981
V00132,Williams Group,Asia Pacific,Singapore,False,True,Women-Owned,Low,13,4,230493.7,57623.425,2024-10-19,2025-10-19,197366.81,3,0.00192036,163,Tail,0.74492017
V00465,French-Lopez,Asia Pacific,Australia,False,False,,Medium,60,14,229112.51,16365.17928571,2024-05-06,2025-12-31,82384.5,3,0.00190886,164,Tail,0.74682903
V00001,"Rodriguez, Figueroa and Sanchez",North America,Mexico,False,False,,Low,35,10,225082.31,22508.231,2024-07-08,2025-10-21,17396.19,2,0.00187528,165,Tail,0.74870431
V00484,Fox PLC,Asia Pacific,Japan,False,False,Minority-Owned,Medium,42,8,223819.68,27977.46,2024-03-25,2025-12-20,77779.82,4,0.00186476,166,Tail,0.75056907
V00232,"Foster, Smith and Grimes",Latin America,Brazil,False,False,,Medium,56,10,223425.88,22342.588,2024-04-06,2025-09-07,223425.88,10,0.00186148,167,Tail,0.75243055
V00375,Glenn LLC,North America,Mexico,False,False,Women-Owned,Low,33,13,223330.67,17179.28230769,2024-04-09,2025-12-12,21571.75,3,0.00186068,168,Tail,0.75429123
V00361,Brown-Copeland,Europe,UK,False,False,,Low,14,13,222849.57,17142.27461538,2024-05-24,2025-12-20,3874.09,1,0.00185668,169,Tail,0.75614791
V00056,Horton-Cross,Europe,Netherlands,False,False,,Low,9,12,222556.07,18546.33916667,2024-03-23,2025-12-14,25857.22,2,0.00185423,170,Tail,0.75800214
V00472,"Prince, Wilcox and Robertson",Europe,Netherlands,False,False,Women-Owned,Low,29,9,221503.36,24611.48444444,2024-02-03,2025-12-12,0.0,0,0.00184546,171,Tail,0.7598476
V00417,Hensley-Flores,Europe,France,False,False,Women-Owned,Low,22,13,220269.61,16943.81615385,2024-02-01,2025-12-12,17517.78,2,0.00183518,172,Tail,0.76168278
V00324,Garcia-Nolan,Asia Pacific,China,True,False,,Low,22,10,219026.38,21902.638,2024-04-14,2025-12-17,53718.63,2,0.00182482,173,Tail,0.7635076
V00033,"Sellers, George and Burns",Europe,Italy,False,False,,Low,30,10,218943.37,21894.337,2024-06-10,2025-12-08,93736.14,2,0.00182413,174,Tail,0.76533173
V00370,"Thompson, Maxwell and Marshall",Europe,Germany,False,False,Women-Owned,Low,15,13,216657.79,16665.98384615,2024-01-30,2025-11-21,58514.94,3,0.00180509,175,Tail,0.76713682
V00154,Allen Group,Asia Pacific,Australia,False,False,,Low,13,14,216643.82,15474.55857143,2024-01-13,2025-10-27,82714.51,3,0.00180497,176,Tail,0.76894179
V00382,Bell-Williams,Asia Pacific,Australia,False,False,Women-Owned,Low,9,13,215505.78,16577.36769231,2024-01-04,2025-10-19,121769.03,5,0.00179549,177,Tail,0.77073728
V00251,Williams Inc,Latin America,Argentina,False,False,,Low,15,13,215505.26,16577.32769231,2024-01-07,2025-12-28,58076.92,2,0.00179549,178,Tail,0.77253277
V00378,Glass-Stone,Latin America,Brazil,False,False,,Low,31,14,215432.94,15388.06714286,2024-01-02,2025-11-26,0.0,0,0.00179488,179,Tail,0.77432765
V00204,"Thomas, Lee and Greene",Europe,UK,False,False,,Low,5,12,210366.18,17530.515,2024-06-30,2025-09-14,25516.41,3,0.00175267,180,Tail,0.77608032
V00051,Ramos PLC,Europe,France,False,False,,Low,36,5,209800.5,41960.1,2024-08-18,2025-11-06,209800.5,5,0.00174796,181,Tail,0.77782828
V00116,"Griffin, Moore and Hensley",Latin America,Chile,True,False,,Medium,40,14,209369.43,14954.95928571,2024-09-14,2025-10-20,28914.14,2,0.00174437,182,Tail,0.77957265
V00470,"Stevens, Scott and Lopez",North America,USA,False,False,,Medium,46,8,204888.89,25611.11125,2024-10-20,2025-09-28,0.0,0,0.00170704,183,Tail,0.78127969
V00186,"Wright, Davis and Hayden",Asia Pacific,Singapore,False,False,Small Business,Low,17,16,203757.13,12734.820625,2024-01-10,2025-12-13,33077.65,3,0.00169761,184,Tail,0.7829773
V00038,Rose-Obrien,Latin America,Brazil,False,True,,Medium,65,18,202623.53,11256.86277778,2024-01-21,2025-12-20,5691.61,1,0.00168816,185,Tail,0.78466546
V00287,Wilson-Ramirez,North America,Canada,True,True,,Low,27,13,202292.1,15560.93076923,2024-01-10,2025-12-29,15674.41,2,0.0016854,186,Tail,0.78635086
V00416,Washington-Harris,Latin America,Argentina,True,False,,Low,7,12,201348.81,16779.0675,2024-01-06,2025-12-03,60991.46,3,0.00167754,187,Tail,0.7880284
V00376,Kim-Ross,Latin America,Chile,True,False,,Low,7,12,200135.52,16677.96,2024-03-17,2025-11-13,5422.17,2,0.00166743,188,Tail,0.78969583
V00013,Delacruz Group,Asia Pacific,India,False,False,,Low,35,17,199368.02,11727.53058824,2024-01-15,2025-12-26,12491.42,1,0.00166104,189,Tail,0.79135687
V00275,"Joseph, James and Harper",Asia Pacific,China,False,False,,Low,27,11,199291.08,18117.37090909,2024-08-01,2025-10-27,44274.62,2,0.0016604,190,Tail,0.79301727
V00127,Freeman LLC,North America,Canada,False,False,,Low,6,14,199194.89,14228.20642857,2024-02-18,2025-12-10,53226.77,3,0.0016596,191,Tail,0.79467687
V00243,Taylor and Sons,Europe,Italy,False,False,Women-Owned,Medium,41,9,197228.69,21914.29888889,2024-01-01,2025-10-06,0.0,0,0.00164322,192,Tail,0.79632009
V00254,"Barnes, Newton and Moore",Europe,France,False,False,,Low,14,12,194575.98,16214.665,2024-03-18,2025-12-14,67176.77,3,0.00162111,193,Tail,0.7979412
V00328,Mccormick Ltd,Asia Pacific,China,False,False,,Low,23,11,194250.82,17659.16545455,2024-02-01,2025-11-11,29110.21,2,0.00161841,194,Tail,0.79955961
V00205,Shields LLC,Latin America,Brazil,False,False,,Low,1,13,193154.47,14858.03615385,2024-07-15,2025-11-30,190401.73,12,0.00160927,195,Tail,0.80116888
V00063,Donovan-Harris,North America,Canada,False,True,Women-Owned,Low,32,6,192380.44,32063.40666667,2024-10-14,2025-10-18,192380.44,6,0.00160282,196,Tail,0.8027717
V00085,Pham-Shields,Latin America,Argentina,False,False,,Low,10,10,191576.43,19157.643,2024-04-20,2025-12-12,16796.28,1,0.00159612,197,Tail,0.80436782
V00456,"Nelson, Hoffman and Nelson",North America,Canada,True,False,Women-Owned,Low,4,12,191351.01,15945.9175,2024-08-24,2025-10-30,31564.7,2,0.00159425,198,Tail,0.80596207
V00315,"Wolf, Cole and Glass",Europe,Netherlands,False,False,,Low,38,6,190113.64,31685.60666667,2024-03-31,2025-03-02,15264.53,1,0.00158394,199,Tail,0.80754601
V00036,Dennis Inc,Europe,Netherlands,False,True,Women-Owned,Low,21,12,190075.18,15839.59833333,2024-06-10,2025-11-14,153172.43,10,0.00158362,200,Tail,0.80912963
V00325,"Miller, Lucas and Williams",Europe,Germany,False,False,,Medium,45,15,189322.58,12621.50533333,2024-04-02,2025-10-31,45693.45,4,0.00157735,201,Tail,0.81070698
V00409,"Jackson, David and Moore",Asia Pacific,China,False,False,,Low,35,8,188761.35,23595.16875,2024-07-07,2025-11-24,11384.55,1,0.00157267,202,Tail,0.81227965
V00476,Green LLC,Asia Pacific,Australia,False,False,,Low,33,12,188527.52,15710.62666667,2024-02-01,2025-10-04,0.0,0,0.00157072,203,Tail,0.81385037
V00024,Campos Inc,Latin America,Brazil,False,False,Veteran-Owned,Low,30,9,188223.29,20913.69888889,2024-01-17,2025-10-16,59449.83,4,0.00156819,204,Tail,0.81541856
V00235,Fields PLC,Latin America,Argentina,False,False,,Low,19,27,187278.03,6936.22333333,2024-01-09,2025-12-01,30419.71,4,0.00156031,205,Tail,0.81697887
V00445,"Luna, Thornton and Stone",North America,USA,False,False,,Medium,54,11,185469.83,16860.89363636,2024-11-30,2025-10-28,97683.75,7,0.00154525,206,Tail,0.81852412
V00247,Richards-Carson,Europe,Germany,False,False,,Low,22,14,184634.75,13188.19642857,2024-06-02,2025-10-29,88611.65,7,0.00153829,207,Tail,0.82006241
V00306,Smith-Nguyen,Latin America,Argentina,False,False,,Low,31,11,183145.47,16649.58818182,2024-02-02,2025-12-11,19595.09,2,0.00152588,208,Tail,0.82158829
V00455,Douglas-Burgess,Latin America,Chile,False,False,,Medium,53,18,177321.38,9851.18777778,2024-01-25,2025-10-15,15646.92,2,0.00147736,209,Tail,0.82306565
V00176,Moore and Sons,Asia Pacific,India,False,False,Small Business,Low,18,7,175949.41,25135.63,2024-02-02,2025-12-22,67468.61,3,0.00146593,210,Tail,0.82453158
V00405,Guerra PLC,Europe,Netherlands,False,False,,Low,4,13,175707.54,13515.96461538,2024-01-17,2025-12-01,62320.39,4,0.00146391,211,Tail,0.82599549
V00207,Campbell LLC,North America,Canada,False,False,,Low,26,12,174951.17,14579.26416667,2024-01-07,2025-11-13,12619.04,1,0.00145761,212,Tail,0.8274531
V00153,"Haynes, Hill and Smith",North America,Canada,False,False,Women-Owned,Low,21,9,174314.11,19368.23444444,2024-01-02,2025-11-14,35924.28,3,0.0014523,213,Tail,0.8289054
V00418,Hester-Anderson,Europe,France,False,False,,Low,23,12,173588.78,14465.73166667,2024-02-14,2025-12-08,26622.31,2,0.00144626,214,Tail,0.83035166
V00125,Bender LLC,North America,Mexico,False,False,Minority-Owned,Medium,45,16,172431.13,10776.945625,2024-01-06,2025-11-22,33801.51,3,0.00143661,215,Tail,0.83178827
V00069,Kim PLC,Europe,Italy,False,False,,Low,13,17,170873.28,10051.36941176,2024-01-28,2025-12-23,103066.88,9,0.00142363,216,Tail,0.8332119
V00297,"Ramos, Nelson and Fischer",Europe,France,False,False,Minority-Owned,Low,30,7,169974.77,24282.11,2024-01-24,2025-09-06,104591.75,4,0.00141615,217,Tail,0.83462805
V00313,Gonzalez-Morrison,Europe,UK,False,False,,Low,39,9,169117.19,18790.79888889,2024-01-05,2025-10-03,8987.84,1,0.001409,218,Tail,0.83603705
V00488,"Griffin, Brown and Anderson",Asia Pacific,Australia,False,False,,Low,28,9,167894.76,18654.97333333,2024-04-24,2025-12-24,18955.5,1,0.00139882,219,Tail,0.83743587
V00030,Stanton-Gill,Latin America,Brazil,False,False,Minority-Owned,Low,28,14,166093.74,11863.83857143,2024-02-19,2025-11-26,4895.43,1,0.00138381,220,Tail,0.83881968
V00374,"Kennedy, Johnson and Lucas",Europe,Germany,False,False,,Low,23,8,164496.71,20562.08875,2024-04-30,2025-09-14,0.0,0,0.00137051,221,Tail,0.84019019
V00142,"Gonzalez, Vargas and Rivas",Latin America,Chile,False,False,Small Business,Low,18,13,164330.51,12640.80846154,2024-01-08,2025-12-07,11458.71,2,0.00136912,222,Tail,0.84155931
V00394,Thompson-Reeves,Europe,France,False,False,,Medium,41,9,162991.69,18110.18777778,2024-03-12,2025-11-30,35064.25,3,0.00135797,223,Tail,0.84291728
V00196,Lopez LLC,North America,Mexico,False,False,Women-Owned,Low,28,23,162404.69,7061.07347826,2024-03-18,2025-12-18,150492.38,21,0.00135308,224,Tail,0.84427036
V00462,Pearson and Sons,North America,Canada,False,False,,Medium,45,11,161241.74,14658.34,2024-09-29,2025-12-25,16885.28,1,0.00134339,225,Tail,0.84561375
V00220,Francis Group,Asia Pacific,China,False,False,,Medium,52,8,161226.87,20153.35875,2024-05-09,2025-12-28,31664.76,1,0.00134327,226,Tail,0.84695702
V00052,"Kidd, Huff and Novak",North America,USA,False,False,Women-Owned,Low,29,11,161071.95,14642.90454545,2024-05-12,2025-09-28,75916.36,5,0.00134197,227,Tail,0.84829899
V00261,Williams LLC,North America,Mexico,False,False,,Low,21,12,160825.17,13402.0975,2024-04-14,2025-11-07,80141.51,4,0.00133992,228,Tail,0.84963891
V00017,"Hawkins, Cohen and Cameron",Latin America,Chile,False,False,,Low,13,14,160550.35,11467.88214286,2024-01-08,2025-12-24,29299.81,2,0.00133763,229,Tail,0.85097654
V00441,"Castillo, Warren and Griffith",Europe,Netherlands,False,False,,Medium,51,12,160016.72,13334.72666667,2024-01-02,2025-11-22,0.0,0,0.00133318,230,Tail,0.85230972
V00166,"Oneill, Henry and Salas",Latin America,Chile,False,False,,Low,5,15,159242.37,10616.158,2024-03-24,2025-12-13,12362.16,2,0.00132673,231,Tail,0.85363645
V00211,Hall-Rowe,North America,Mexico,False,False,,Medium,40,13,157807.53,12139.04076923,2024-03-19,2025-12-03,28874.06,3,0.00131478,232,Tail,0.85495123
V00241,Sloan-Raymond,Europe,UK,False,False,,Medium,43,8,156043.41,19505.42625,2024-04-01,2025-08-17,44846.88,3,0.00130008,233,Tail,0.85625131
V00312,"Mullen, Brewer and Hernandez",Europe,Italy,False,False,,Low,10,12,156020.9,13001.74166667,2024-03-05,2025-12-12,57421.86,3,0.00129989,234,Tail,0.8575512
V00357,Gilbert-Bullock,North America,Mexico,False,False,Small Business,Low,27,19,155799.74,8199.98631579,2024-02-20,2025-12-04,15777.15,4,0.00129805,235,Tail,0.85884925
V00240,Schmidt-Mcintyre,Asia Pacific,India,False,False,,Low,23,17,155365.89,9139.17,2024-01-14,2025-11-09,41370.27,9,0.00129443,236,Tail,0.86014368
V00248,Leonard Group,North America,Canada,True,False,Women-Owned,Medium,60,14,154382.38,11027.31285714,2024-01-06,2025-06-22,12760.66,2,0.00128624,237,Tail,0.86142992
V00003,Johnson-Davis,North America,Mexico,False,False,,Medium,41,10,153768.1,15376.81,2024-05-18,2025-12-28,40868.0,2,0.00128112,238,Tail,0.86271104
V00365,Jones-Fox,Europe,Italy,False,False,Small Business,Low,21,9,153069.5,17007.72222222,2024-03-12,2025-09-08,8982.71,1,0.0012753,239,Tail,0.86398634
V00032,"Lynch, Hernandez and Farmer",North America,USA,False,False,,Low,20,14,151857.3,10846.95,2024-04-16,2025-12-09,122178.16,10,0.0012652,240,Tail,0.86525154
V00151,"Barnett, Rogers and Snyder",Europe,UK,False,False,,Low,31,10,151398.56,15139.856,2024-04-18,2025-11-13,10509.96,1,0.00126138,241,Tail,0.86651292
V00094,Graham-Joyce,Latin America,Chile,False,False,Women-Owned,Low,23,11,149737.68,13612.51636364,2024-01-15,2025-10-15,130507.88,8,0.00124754,242,Tail,0.86776046
V00197,Garrett-Wolf,Asia Pacific,Japan,False,False,,Medium,51,9,149570.34,16618.92666667,2024-03-08,2025-08-05,20817.06,2,0.00124615,243,Tail,0.86900661
V00250,Blankenship-Turner,Asia Pacific,India,False,False,,Low,33,7,149403.48,21343.35428571,2024-05-08,2025-11-04,57264.16,2,0.00124476,244,Tail,0.87025137
V00102,Torres and Sons,Asia Pacific,Japan,False,False,,Medium,47,7,149084.39,21297.77,2024-08-07,2025-12-17,0.0,0,0.0012421,245,Tail,0.87149347
V00182,Brown LLC,Latin America,Argentina,False,False,,Low,13,13,148799.24,11446.09538462,2024-04-01,2025-11-15,148799.24,13,0.00123972,246,Tail,0.87273319
V00053,Martin Group,Asia Pacific,Australia,False,True,,Low,22,5,142939.04,28587.808,2024-04-21,2025-09-24,142939.04,5,0.0011909,247,Tail,0.87392409
V00097,Jones-Beck,North America,Canada,True,False,Minority-Owned,Low,38,7,141938.59,20276.94142857,2024-02-06,2025-06-13,41485.12,2,0.00118256,248,Tail,0.87510665
V00245,Gibbs Inc,North America,USA,False,False,Minority-Owned,Low,30,9,141006.24,15667.36,2024-04-26,2025-12-31,52724.77,5,0.0011748,249,Tail,0.87628145
V00332,Ponce-Hale,North America,Mexico,False,False,Women-Owned,Medium,45,10,140823.15,14082.315,2024-04-14,2025-12-05,73355.6,5,0.00117327,250,Tail,0.87745472
V00300,Harris and Sons,Asia Pacific,Singapore,False,False,Minority-Owned,Low,31,25,140216.27,5608.6508,2024-02-06,2025-11-29,64668.55,12,0.00116822,251,Tail,0.87862294
V00148,"Morton, Medina and Webb",Europe,Germany,True,False,,Low,6,19,140133.53,7375.44894737,2024-01-13,2025-12-09,56420.9,5,0.00116753,252,Tail,0.87979047
V00288,Bruce-Villegas,Latin America,Brazil,False,False,Veteran-Owned,Low,23,19,140074.36,7372.33473684,2024-02-10,2025-12-28,1873.51,1,0.00116703,253,Tail,0.8809575
V00317,Jones-Ramos,Europe,Italy,False,True,,Medium,58,9,139773.51,15530.39,2024-04-30,2025-10-27,0.0,0,0.00116453,254,Tail,0.88212203
V00396,"Daniels, Vance and York",Europe,France,False,False,,Low,13,12,137873.57,11489.46416667,2024-10-14,2025-12-30,18749.96,1,0.0011487,255,Tail,0.88327073
V00214,"Rivera, Garcia and Kirk",Latin America,Argentina,False,False,Women-Owned,Low,9,11,136843.77,12440.34272727,2024-06-07,2025-12-14,44398.54,3,0.00114012,256,Tail,0.88441085
V00194,Cordova Group,Latin America,Brazil,False,False,Minority-Owned,Medium,72,9,136494.46,15166.05111111,2024-03-14,2025-12-19,34758.01,2,0.00113721,257,Tail,0.88554806
V00101,"Adkins, Thompson and Carroll",Latin America,Chile,False,False,,Low,22,6,136411.48,22735.24666667,2024-02-13,2025-12-14,70415.98,2,0.00113652,258,Tail,0.88668458
V00155,Vaughn Ltd,Asia Pacific,India,False,False,Small Business,Low,6,11,136239.76,12385.43272727,2024-04-14,2025-12-23,14555.81,1,0.00113508,259,Tail,0.88781966
V00075,Davis Group,Europe,Germany,False,False,,Low,24,12,136038.69,11336.5575,2024-01-15,2025-12-08,46378.12,3,0.00113341,260,Tail,0.88895307
V00120,Taylor and Sons,Europe,Netherlands,False,False,,Low,31,12,134525.9,11210.49166667,2024-05-18,2025-12-19,101607.58,7,0.00112081,261,Tail,0.89007388
V00246,Gibson Ltd,Europe,UK,True,False,,Low,22,8,133527.04,16690.88,2024-07-10,2025-10-31,83535.13,4,0.00111248,262,Tail,0.89118636
V00268,Baker and Sons,North America,USA,False,False,Minority-Owned,Medium,42,9,133067.85,14785.31666667,2024-03-16,2025-12-07,57434.13,2,0.00110866,263,Tail,0.89229502
V00485,Stark Inc,Asia Pacific,Japan,False,False,,Low,31,15,131872.54,8791.50266667,2024-03-13,2025-11-20,31661.14,3,0.0010987,264,Tail,0.89339372
V00234,Parsons-Hall,Europe,France,False,False,,Low,22,25,131033.11,5241.3244,2024-01-08,2025-12-19,9502.66,3,0.00109171,265,Tail,0.89448543
V00281,Davis Inc,North America,USA,False,False,,Low,1,17,130406.19,7670.95235294,2024-04-03,2025-12-03,0.0,0,0.00108648,266,Tail,0.89557191
V00358,Conley PLC,Europe,Netherlands,False,False,Women-Owned,Low,25,9,130379.51,14486.61222222,2024-02-09,2025-12-31,11953.73,1,0.00108626,267,Tail,0.89665817
V00263,"Clark, Robinson and Kane",Europe,France,False,True,,Medium,43,7,130238.36,18605.48,2024-03-21,2025-12-30,29577.11,2,0.00108508,268,Tail,0.89774325
V00018,Underwood LLC,North America,Mexico,False,False,,Low,32,11,130093.25,11826.65909091,2024-05-28,2025-11-15,0.0,0,0.00108387,269,Tail,0.89882712
V00088,Bailey-Hoover,Latin America,Chile,False,False,,Low,30,3,130045.8,43348.6,2024-11-07,2025-09-03,130045.8,3,0.00108348,270,Tail,0.8999106
V00067,Medina PLC,Europe,Italy,False,False,,Low,16,9,129250.59,14361.17666667,2024-03-21,2025-10-20,29840.67,2,0.00107685,271,Tail,0.90098745
V00061,Powell PLC,North America,USA,False,False,Women-Owned,Low,13,8,129060.67,16132.58375,2024-01-24,2025-07-26,94419.84,6,0.00107527,272,Tail,0.90206272
V00100,Lee Ltd,North America,Canada,False,False,Women-Owned,Low,16,2,126702.76,63351.38,2024-07-31,2025-06-15,126702.76,2,0.00105563,273,Tail,0.90311835
V00098,Alvarado-Martinez,Latin America,Argentina,False,False,,Low,9,11,123213.37,11201.21545455,2024-01-21,2025-11-22,107461.43,9,0.00102656,274,Tail,0.90414491
V00434,Brock-Stone,Latin America,Chile,False,False,,Low,36,19,122787.69,6462.51,2024-03-02,2025-12-27,32857.19,2,0.00102301,275,Tail,0.90516792
V00177,Smith Group,Europe,Italy,False,False,,High,85,15,121749.71,8116.64733333,2024-01-10,2025-12-22,4588.67,2,0.00101436,276,Tail,0.90618228
V00264,Kramer PLC,Latin America,Chile,False,False,,Low,33,3,120936.31,40312.10333333,2025-03-25,2025-12-14,120936.31,3,0.00100758,277,Tail,0.90718986
V00064,Baker and Sons,Europe,France,False,False,,Low,29,10,117657.98,11765.798,2024-01-21,2025-10-03,0.0,0,0.00098027,278,Tail,0.90817013
V00073,Campbell-Clark,Europe,Netherlands,False,False,,Low,15,6,116796.74,19466.12333333,2024-10-21,2025-09-29,0.0,0,0.00097309,279,Tail,0.90914322
V00158,Coleman-Reese,Latin America,Chile,False,False,,Medium,48,20,116564.19,5828.2095,2024-01-21,2025-12-11,10027.42,3,0.00097116,280,Tail,0.91011438
V00016,"Sanchez, Ford and Nelson",North America,USA,False,False,,Low,35,8,116194.69,14524.33625,2024-02-24,2025-10-25,21333.1,1,0.00096808,281,Tail,0.91108246
V00289,"Leonard, Hawkins and Lynch",Asia Pacific,India,False,False,,Low,39,17,115449.88,6791.16941176,2024-01-30,2025-12-23,45726.44,6,0.00096187,282,Tail,0.91204433
V00381,Griffin-Robbins,Latin America,Chile,False,False,,Medium,60,6,114521.29,19086.88166667,2024-01-08,2025-12-07,0.0,0,0.00095414,283,Tail,0.91299847
V00273,"Browning, Jones and Miller",Europe,Italy,True,False,Women-Owned,Medium,46,20,113696.42,5684.821,2024-08-06,2025-12-13,47522.63,8,0.00094726,284,Tail,0.91394573
V00076,Smith and Sons,Asia Pacific,Singapore,False,False,,Low,6,14,112413.48,8029.53428571,2024-03-23,2025-12-25,53065.54,8,0.00093658,285,Tail,0.91488231
V00181,Holland LLC,North America,Mexico,False,False,,Medium,56,19,110914.41,5837.60052632,2024-03-06,2025-10-29,7134.74,2,0.00092409,286,Tail,0.9158064
V00136,"Williams, Johnson and Wright",Latin America,Argentina,False,False,,Low,34,5,110642.25,22128.45,2024-11-20,2025-12-21,110642.25,5,0.00092182,287,Tail,0.91672822
V00058,"Fitzgerald, Brown and Edwards",Latin America,Brazil,False,False,,Low,34,6,110075.22,18345.87,2024-08-03,2025-10-10,48777.6,2,0.00091709,288,Tail,0.91764531
V00227,Byrd-Moore,North America,Mexico,False,True,,Low,30,6,107817.3,17969.55,2024-03-03,2025-05-07,22324.08,1,0.00089828,289,Tail,0.91854359
V00168,Everett-Woods,Asia Pacific,Australia,True,False,,Medium,69,19,107602.74,5663.30210526,2024-02-05,2025-12-25,17324.92,2,0.00089649,290,Tail,0.91944008
V00025,Conner Group,Europe,France,False,False,,Low,20,11,107374.3,9761.3,2024-06-20,2025-12-13,80288.15,8,0.00089459,291,Tail,0.92033467
V00253,Chavez-Santiago,Asia Pacific,Australia,False,False,,Low,13,6,106937.61,17822.935,2024-09-12,2025-11-28,106937.61,6,0.00089095,292,Tail,0.92122562
V00137,"Hernandez, Martinez and Caldwell",Europe,Germany,False,False,,Low,30,9,106920.1,11880.01111111,2024-09-05,2025-11-04,0.0,0,0.00089081,293,Tail,0.92211643
V00401,"Higgins, Fox and Hammond",Latin America,Argentina,False,False,,Medium,40,7,105974.58,15139.22571429,2024-01-20,2025-08-15,18148.71,1,0.00088293,294,Tail,0.92299936
V00262,Buchanan and Sons,North America,USA,False,False,Minority-Owned,Medium,54,4,105234.54,26308.635,2024-06-27,2025-12-18,39453.52,2,0.00087676,295,Tail,0.92387612
V00407,"Jacobson, Singleton and King",North America,USA,False,False,Minority-Owned,Low,19,14,105200.77,7514.34071429,2024-03-27,2025-11-29,102578.49,13,0.00087648,296,Tail,0.9247526
V00421,"Barnes, Estes and Barrera",North America,Canada,False,False,Veteran-Owned,Low,35,12,105185.79,8765.4825,2024-07-04,2025-11-28,51644.47,2,0.00087636,297,Tail,0.92562896
V00011,"Montgomery, Hensley and Ray",Asia Pacific,Australia,False,False,,Medium,54,9,103856.04,11539.56,2024-03-12,2025-12-02,8833.64,1,0.00086528,298,Tail,0.92649424
V00299,"Estrada, Williams and Foster",Asia Pacific,Australia,False,False,,Medium,47,9,103532.66,11503.62888889,2024-05-19,2025-09-05,26848.06,4,0.00086258,299,Tail,0.92735682
V00199,Dudley PLC,Latin America,Chile,False,False,,High,94,9,103038.37,11448.70777778,2024-06-09,2025-12-19,60524.39,3,0.00085847,300,Tail,0.92821529
V00352,Wilkerson-Arias,North America,Mexico,False,False,,Medium,57,13,102657.2,7896.70769231,2024-03-24,2025-12-29,52415.6,5,0.00085529,301,Tail,0.92907058
V00437,"Burns, Hart and Wells",North America,Mexico,False,False,Veteran-Owned,Low,14,12,102281.54,8523.46166667,2024-01-04,2025-10-10,8453.12,4,0.00085216,302,Tail,0.92992274
V00490,Scott-Smith,Europe,Germany,False,False,Veteran-Owned,Low,25,15,102077.97,6805.198,2024-06-11,2025-11-13,50738.98,7,0.00085047,303,Tail,0.93077321
V00195,Sandoval PLC,Asia Pacific,Australia,False,False,,Low,11,9,101843.56,11315.95111111,2024-03-20,2025-12-19,61404.31,4,0.00084851,304,Tail,0.93162172
V00338,Richard-Garcia,Europe,Netherlands,False,False,,Medium,60,4,101830.83,25457.7075,2024-02-12,2025-03-17,101830.83,4,0.00084841,305,Tail,0.93247013
V00095,"Lee, Williams and Graham",Europe,Germany,False,False,,Low,32,13,101373.17,7797.93615385,2024-05-05,2025-12-22,39514.85,7,0.00084459,306,Tail,0.93331472
V00425,Williams-Campbell,North America,Mexico,False,False,,Medium,44,10,99081.51,9908.151,2024-05-12,2025-12-20,24178.04,3,0.0008255,307,Tail,0.93414022
V00453,Cardenas-Blevins,Asia Pacific,China,False,False,Minority-Owned,Medium,54,7,98882.78,14126.11142857,2024-04-30,2025-12-25,0.0,0,0.00082384,308,Tail,0.93496406
V00083,Hancock and Sons,Latin America,Argentina,False,False,,Low,32,19,97492.56,5131.18736842,2024-05-14,2025-12-29,21415.47,3,0.00081226,309,Tail,0.93577632
V00406,Martin Ltd,Europe,France,False,False,Small Business,Low,16,8,97394.16,12174.27,2024-04-01,2025-09-17,46502.02,4,0.00081144,310,Tail,0.93658776
V00433,"Hicks, Porter and Williams",Europe,UK,False,False,,Medium,47,16,97082.59,6067.661875,2024-02-28,2025-12-06,15423.31,3,0.00080885,311,Tail,0.93739661
V00138,Marshall LLC,Asia Pacific,China,False,False,,Low,27,17,96666.07,5686.23941176,2024-04-16,2025-10-28,2693.63,1,0.00080538,312,Tail,0.93820199
