contract_id,vendor_id,start_date,end_date,negotiated_rate,savings_estimate,payment_terms
C00387,V00120,2023-02-17,2025-02-16,0.157,303958.71,Net 60
C00388,V00120,2022-03-03,2025-03-02,0.16,498456.65,Net 60
C00389,V00311,2022-02-10,2025-02-09,0.215,168490.95,Net 45
C00390,V00311,2023-10-10,2027-10-09,0.159,193780.91,Net 60
C00391,V00300,2022-01-21,2025-01-20,0.139,204574.38,Net 30
C00392,V00256,2022-11-09,2026-11-08,0.053,76192.0,Net 60
C00393,V00256,2022-04-10,2024-04-09,0.11,118724.48,Net 60
C00394,V00256,2023-12-30,2025-12-29,0.204,472240.47,Net 60
C00395,V00355,2024-04-27,2028-04-26,0.161,463702.0,Net 45
C00396,V00355,2023-11-06,2025-11-05,0.058,184271.32,Net 45
C00397,V00355,2023-04-16,2026-04-15,0.123,295256.3,Net 45
C00398,V00400,2023-05-18,2026-05-17,0.068,205901.14,Net 45
C00399,V00226,2022-10-29,2025-10-28,0.209,94722.22,Net 30
C00400,V00226,2023-01-24,2027-01-23,0.178,28312.08,Net 15
C00401,V00354,2023-02-25,2025-02-24,0.234,173850.93,Net 15
C00402,V00235,2023-12-28,2025-12-27,0.224,121091.66,Net 30
C00403,V00235,2023-07-28,2026-07-27,0.061,266947.84,Net 60
C00404,V00383,2022-06-19,2024-06-18,0.115,351906.64,Net 45
C00405,V00383,2023-08-22,2025-08-21,0.185,498709.98,Net 15
C00406,V00275,2022-12-27,2026-12-26,0.151,118821.96,Net 60
C00407,V00275,2023-11-03,2026-11-02,0.08,174722.41,Net 15
C00408,V00037,2024-03-15,2026-03-15,0.16,138653.41,Net 15
C00409,V00037,2023-02-14,2027-02-13,0.137,351956.55,Net 45
C00410,V00197,2023-01-27,2025-01-26,0.148,329601.74,Net 45
C00411,V00197,2022-01-05,2026-01-04,0.173,370477.2,Net 45
C00412,V00140,2022-07-15,2025-07-14,0.205,168471.7,Net 30
C00413,V00365,2022-09-11,2025-09-10,0.135,180670.85,Net 60
C00414,V00245,2023-10-04,2025-10-03,0.204,92935.08,Net 60
C00415,V00440,2023-12-27,2026-12-26,0.175,225827.08,Net 45
C00416,V00440,2023-06-10,2025-06-09,0.187,86435.7,Net 30
C00417,V00287,2023-12-30,2025-12-29,0.099,314291.2,Net 45
C00418,V00060,2023-05-05,2026-05-04,0.053,349959.66,Net 30
C00419,V00060,2022-11-30,2025-11-29,0.14,21146.58,Net 45
C00420,V00060,2022-06-29,2026-06-28,0.092,277747.86,Net 60
C00421,V00112,2022-04-14,2026-04-13,0.196,79260.24,Net 30
C00422,V00112,2023-09-04,2026-09-03,0.167,335128.89,Net 30
C00423,V00090,2023-03-22,2025-03-21,0.107,396702.36,Net 60
C00424,V00437,2024-05-29,2026-05-29,0.063,333582.68,Net 60
C00425,V00007,2022-10-13,2024-10-12,0.108,442867.13,Net 15
C00426,V00007,2022-12-21,2024-12-20,0.246,259184.76,Net 30
C00427,V00007,2022-12-24,2025-12-23,0.147,302582.14,Net 30
C00428,V00361,2022-04-15,2026-04-14,0.243,284736.9,Net 30
C00429,V00347,2022-11-17,2026-11-16,0.111,250067.09,Net 45
C00430,V00339,2023-02-22,2026-02-21,0.121,158139.84,Net 60
C00431,V00159,2022-06-07,2025-06-06,0.226,446297.02,Net 30
C00432,V00159,2023-09-06,2027-09-05,0.24,120535.52,Net 60
C00433,V00159,2023-12-31,2026-12-30,0.181,53019.56,Net 15
C00434,V00151,2024-04-16,2028-04-15,0.225,346396.42,Net 15
C00435,V00151,2023-06-22,2025-06-21,0.165,218967.85,Net 60
C00436,V00178,2023-09-05,2026-09-04,0.14,74568.34,Net 45
C00437,V00178,2022-10-13,2026-10-12,0.158,402051.48,Net 45
C00438,V00178,2022-08-06,2025-08-05,0.188,450335.15,Net 45
C00439,V00394,2022-04-17,2024-04-16,0.181,286773.7,Net 45
C00440,V00394,2022-12-07,2025-12-06,0.064,271151.16,Net 30
C00441,V00185,2022-05-09,2024-05-08,0.195,385063.16,Net 15
C00442,V00450,2022-12-20,2025-12-19,0.139,467546.58,Net 60
C00443,V00450,2023-06-28,2025-06-27,0.206,62318.0,Net 45
C00444,V00450,2023-06-08,2025-06-07,0.202,309870.98,Net 60
C00445,V00011,2023-01-21,2027-01-20,0.096,123769.44,Net 30
C00446,V00011,2023-03-20,2026-03-19,0.066,392114.86,Net 45
C00447,V00381,2023-05-05,2027-05-04,0.144,328288.59,Net 45
C00448,V00381,2024-04-17,2027-04-17,0.148,77381.23,Net 45
C00449,V00104,2024-04-27,2027-04-27,0.203,17356.99,Net 60
C00450,V00082,2022-06-07,2024-06-06,0.198,494239.27,Net 45
C00451,V00082,2022-06-02,2024-06-01,0.085,477802.54,Net 15
C00452,V00082,2022-09-21,2026-09-20,0.148,169198.86,Net 15
C00453,V00039,2022-06-20,2025-06-19,0.131,30494.87,Net 15
C00454,V00039,2024-02-07,2027-02-06,0.129,470178.18,Net 30
C00455,V00039,2023-07-19,2027-07-18,0.072,233881.21,Net 30
C00456,V00315,2024-02-28,2026-02-27,0.154,203849.49,Net 30
C00457,V00315,2024-05-17,2028-05-16,0.127,384928.34,Net 30
C00458,V00315,2023-03-18,2025-03-17,0.108,205039.55,Net 60
C00459,V00168,2022-06-27,2025-06-26,0.142,217006.47,Net 30
C00460,V00168,2022-12-16,2026-12-15,0.231,237153.69,Net 15
C00461,V00470,2023-05-27,2027-05-26,0.073,391578.26,Net 45
C00462,V00297,2023-08-18,2026-08-17,0.14,97650.5,Net 45
C00463,V00475,2023-01-08,2025-01-07,0.1,348941.54,Net 45
C00464,V00475,2023-03-24,2025-03-23,0.068,356051.09,Net 60
C00465,V00475,2023-10-09,2025-10-08,0.155,198202.81,Net 45
C00466,V00199,2023-02-09,2026-02-08,0.059,93733.64,Net 60
C00467,V00298,2022-06-02,2024-06-01,0.082,80857.61,Net 30
C00468,V00298,2023-05-31,2026-05-30,0.112,367779.26,Net 15
C00469,V00417,2023-12-27,2025-12-26,0.074,74469.81,Net 45
C00470,V00147,2022-07-20,2025-07-19,0.052,253837.53,Net 15
C00471,V00393,2022-01-30,2024-01-30,0.172,251798.73,Net 45
C00472,V00393,2022-07-24,2026-07-23,0.182,232331.86,Net 15
C00473,V00148,2022-09-20,2026-09-19,0.051,442262.25,Net 60
C00474,V00448,2023-12-13,2027-12-12,0.214,111742.42,Net 45
C00475,V00448,2023-05-31,2025-05-30,0.061,181019.72,Net 45
C00476,V00288,2023-12-05,2027-12-04,0.218,156236.36,Net 30
C00477,V00288,2023-03-28,2025-03-27,0.072,496930.24,Net 45
C00478,V00288,2023-04-11,2026-04-10,0.172,348841.67,Net 45
C00479,V00124,2023-06-06,2027-06-05,0.122,27561.62,Net 60
C00480,V00124,2022-09-02,2025-09-01,0.124,195680.28,Net 30
C00481,V00124,2023-05-10,2026-05-09,0.219,41813.67,Net 15
C00482,V00369,2024-06-21,2027-06-21,0.116,212741.38,Net 45
C00483,V00097,2023-05-09,2027-05-08,0.062,289969.87,Net 30
C00484,V00097,2023-11-21,2026-11-20,0.195,306341.23,Net 60
C00485,V00144,2023-11-24,2026-11-23,0.102,291819.92,Net 60
C00486,V00144,2023-02-07,2025-02-06,0.173,253234.49,Net 15
C00487,V00240,2022-07-19,2024-07-18,0.227,124033.6,Net 60
C00488,V00240,2023-01-23,2025-01-22,0.05,21753.53,Net 30
C00489,V00443,2023-11-02,2025-11-01,0.21,499503.63,Net 15
C00490,V00443,2023-08-19,2025-08-18,0.117,284603.6,Net 45
C00491,V00098,2022-08-14,2024-08-13,0.188,134664.59,Net 30
C00492,V00408,2024-03-07,2028-03-06,0.16,385845.97,Net 30
C00493,V00123,2022-01-30,2025-01-29,0.129,288771.55,Net 30
C00494,V00123,2022-08-28,2024-08-27,0.089,418574.4,Net 15
C00495,V00184,2024-02-25,2026-02-24,0.179,245932.81,Net 15
C00496,V00184,2022-03-21,2026-03-20,0.229,236610.34,Net 15
C00497,V00184,2024-02-28,2026-02-27,0.217,156678.44,Net 60
C00498,V00203,2022-04-17,2024-04-16,0.092,345891.72,Net 60
C00499,V00203,2024-01-10,2026-01-09,0.244,147425.41,Net 30
C00500,V00247,2022-07-11,2025-07-10,0.175,422778.83,Net 15
C00501,V00306,2023-11-03,2025-11-02,0.223,378254.7,Net 60
C00502,V00299,2023-09-20,2026-09-19,0.133,253556.67,Net 45
C00503,V00299,2024-02-24,2027-02-23,0.14,475856.11,Net 45
C00504,V00352,2023-07-10,2025-07-09,0.072,394622.55,Net 45
C00505,V00352,2023-01-26,2025-01-25,0.139,22218.04,Net 15
C00506,V00387,2023-07-16,2025-07-15,0.088,462582.02,Net 60
C00507,V00387,2023-12-16,2026-12-15,0.079,437181.5,Net 45
C00508,V00387,2024-01-12,2026-01-11,0.195,235090.52,Net 30
C00509,V00396,2024-01-04,2026-01-03,0.187,301200.91,Net 30
C00510,V00285,2023-06-04,2025-06-03,0.071,385428.29,Net 60
C00511,V00126,2023-04-30,2026-04-29,0.178,112824.39,Net 45
C00512,V00303,2023-06-28,2026-06-27,0.156,388665.68,Net 30
C00513,V00224,2022-06-03,2024-06-02,0.105,17475.79,Net 30
C00514,V00419,2024-06-10,2027-06-10,0.16,142815.53,Net 60
C00515,V00220,2022-09-24,2024-09-23,0.064,310498.81,Net 60
C00516,V00220,2023-06-06,2027-06-05,0.139,73736.26,Net 15
C00517,V00130,2024-05-17,2026-05-17,0.071,36361.94,Net 15
C00518,V00130,2023-04-14,2026-04-13,0.086,302099.47,Net 15
C00519,V00130,2024-03-31,2028-03-30,0.121,172842.73,Net 45
C00520,V00421,2024-01-13,2028-01-12,0.066,462164.16,Net 15
C00521,V00421,2022-05-04,2026-05-03,0.076,408297.0,Net 15
C00522,V00290,2023-11-15,2026-11-14,0.187,358005.79,Net 15
C00523,V00445,2023-01-10,2025-01-09,0.079,448893.42,Net 60
C00524,V00445,2022-02-24,2025-02-23,0.128,352811.16,Net 60
C00525,V00377,2022-09-10,2025-09-09,0.141,24829.42,Net 15
C00526,V00377,2023-08-21,2025-08-20,0.12,236008.43,Net 45
C00527,V00292,2023-10-01,2026-09-30,0.171,72423.06,Net 30
C00528,V00356,2022-05-01,2024-04-30,0.115,328231.19,Net 60
C00529,V00356,2022-05-14,2026-05-13,0.142,299362.62,Net 45
C00530,V00295,2022-10-21,2026-10-20,0.082,246363.58,Net 30
C00531,V00295,2022-08-14,2025-08-13,0.092,350089.33,Net 15
C00532,V00397,2024-02-08,2027-02-07,0.163,177678.41,Net 45
C00533,V00397,2022-12-24,2024-12-23,0.183,48168.26,Net 15
C00534,V00341,2022-05-10,2026-05-09,0.143,281992.97,Net 15
C00535,V00113,2023-07-31,2026-07-30,0.064,63284.87,Net 15
C00536,V00180,2023-07-26,2025-07-25,0.068,410346.46,Net 30
C00537,V00308,2022-12-08,2024-12-07,0.141,152836.59,Net 15
C00538,V00308,2022-03-10,2024-03-09,0.091,439938.42,Net 60
C00539,V00433,2023-12-25,2026-12-24,0.234,468971.48,Net 60
C00540,V00433,2023-12-02,2025-12-01,0.167,309630.47,Net 15
C00541,V00488,2023-01-02,2026-01-01,0.062,451527.09,Net 30
C00542,V00488,2023-11-15,2025-11-14,0.191,412169.11,Net 60
C00543,V00488,2023-09-25,2025-09-24,0.222,434183.02,Net 45
C00544,V00482,2024-03-10,2028-03-09,0.129,165882.38,Net 15
C00545,V00482,2023-02-19,2026-02-18,0.126,277108.21,Net 45
C00546,V00423,2023-03-21,2025-03-20,0.161,423230.56,Net 60
C00547,V00423,2023-06-15,2026-06-14,0.081,498753.46,Net 45
C00548,V00234,2024-03-02,2026-03-02,0.18,80557.98,Net 15
C00549,V00312,2024-02-11,2026-02-10,0.067,324699.02,Net 15
C00550,V00312,2022-03-26,2025-03-25,0.229,350741.35,Net 15
C00551,V00165,2024-06-04,2027-06-04,0.152,280504.51,Net 15
C00552,V00165,2023-08-02,2026-08-01,0.121,101037.61,Net 30
C00553,V00137,2023-09-28,2025-09-27,0.192,141932.72,Net 60
C00554,V00137,2024-02-14,2026-02-13,0.246,288393.29,Net 60
C00555,V00198,2023-12-26,2026-12-25,0.242,49230.92,Net 60
C00556,V00259,2022-12-29,2024-12-28,0.155,308934.6,Net 45
C00557,V00259,2024-05-31,2027-05-31,0.176,335231.1,Net 30
C00558,V00233,2024-01-22,2028-01-21,0.21,163124.86,Net 30
C00559,V00233,2023-03-27,2026-03-26,0.157,15283.87,Net 15
C00560,V00116,2022-10-22,2025-10-21,0.165,172441.85,Net 60
C00561,V00116,2022-09-16,2025-09-15,0.108,27309.86,Net 60
C00562,V00121,2023-05-14,2027-05-13,0.102,318357.03,Net 45
C00563,V00121,2022-04-29,2026-04-28,0.06,495278.77,Net 30
C00564,V00350,2024-02-16,2026-02-15,0.075,47662.51,Net 60
C00565,V00225,2023-12-20,2027-12-19,0.106,430350.61,Net 30
C00566,V00403,2024-03-25,2028-03-24,0.085,299967.36,Net 45
C00567,V00403,2023-11-26,2026-11-25,0.124,95945.69,Net 45
C00568,V00398,2022-02-11,2026-02-10,0.222,177995.52,Net 30
C00569,V00398,2023-07-25,2025-07-24,0.169,412644.65,Net 15
C00570,V00128,2024-02-02,2027-02-01,0.204,126594.25,Net 15
C00571,V00128,2022-01-15,2024-01-15,0.092,369836.94,Net 60
C00572,V00286,2024-04-26,2027-04-26,0.201,66837.24,Net 45
C00573,V00412,2022-05-24,2025-05-23,0.11,375613.77,Net 45
C00574,V00412,2023-02-20,2026-02-19,0.187,201134.54,Net 60
C00575,V00108,2024-06-22,2027-06-22,0.052,464339.04,Net 15
C00576,V00371,2023-01-25,2026-01-24,0.242,344609.39,Net 30
C00577,V00326,2024-06-26,2028-06-25,0.177,478529.99,Net 15
C00578,V00134,2024-04-08,2027-04-08,0.117,140873.03,Net 30
C00579,V00134,2024-03-14,2027-03-14,0.181,201665.34,Net 45
C00580,V00453,2022-10-02,2026-10-01,0.204,264776.64,Net 45
C00581,V00453,2024-03-07,2027-03-07,0.16,339672.91,Net 30
C00582,V00045,2024-03-09,2026-03-09,0.155,345894.78,Net 60
C00583,V00461,2022-03-27,2025-03-26,0.1,26680.46,Net 30
C00584,V00066,2022-11-25,2026-11-24,0.181,419374.98,Net 30
C00585,V00284,2022-03-17,2024-03-16,0.067,306296.03,Net 15
C00586,V00284,2023-08-29,2027-08-28,0.211,100536.62,Net 30
C00587,V00086,2023-08-15,2026-08-14,0.109,333634.14,Net 30
C00588,V00086,2022-02-17,2025-02-16,0.235,145427.95,Net 15
C00589,V00243,2023-07-24,2026-07-23,0.101,392558.34,Net 60
C00590,V00243,2023-10-24,2025-10-23,0.127,173000.82,Net 30
C00591,V00187,2023-11-20,2026-11-19,0.086,44005.26,Net 45
C00592,V00384,2023-01-27,2025-01-26,0.179,63130.93,Net 15
C00593,V00384,2022-03-25,2024-03-24,0.173,62062.36,Net 15
C00594,V00160,2022-03-28,2024-03-27,0.057,44502.04,Net 60
C00595,V00160,2022-07-14,2025-07-13,0.054,253873.68,Net 30
C00596,V00013,2022-03-13,2025-03-12,0.103,353027.05,Net 15
C00597,V00013,2023-06-25,2027-06-24,0.051,356726.77,Net 15
C00598,V00013,2023-04-19,2026-04-18,0.137,423584.09,Net 30
C00599,V00036,2023-02-10,2025-02-09,0.127,347738.04,Net 15
C00600,V00036,2022-01-08,2024-01-08,0.163,468170.67,Net 60
C00601,V00029,2022-11-09,2025-11-08,0.13,319813.54,Net 30
C00602,V00171,2022-04-20,2025-04-19,0.066,235223.28,Net 60
C00603,V00143,2024-02-23,2026-02-22,0.161,484081.35,Net 45
C00604,V00143,2023-09-25,2026-09-24,0.189,449265.74,Net 60
C00605,V00399,2023-03-12,2026-03-11,0.197,78572.05,Net 45
C00606,V00399,2022-07-28,2024-07-27,0.194,300543.26,Net 15
C00607,V00343,2022-03-23,2026-03-22,0.179,254845.23,Net 15
C00608,V00222,2024-01-05,2026-01-04,0.057,37466.68,Net 30
C00609,V00222,2022-04-05,2025-04-04,0.074,405480.82,Net 15
C00610,V00222,2022-12-01,2026-11-30,0.08,293879.4,Net 30
C00611,V00096,2022-09-30,2024-09-29,0.148,19340.87,Net 30
C00612,V00052,2022-12-15,2024-12-14,0.053,320004.11,Net 60
C00613,V00241,2024-01-11,2026-01-10,0.141,93637.8,Net 30
C00614,V00241,2024-03-07,2026-03-07,0.073,301538.93,Net 45
C00615,V00241,2023-08-08,2025-08-07,0.211,218843.62,Net 15
C00616,V00485,2023-09-09,2027-09-08,0.159,167579.04,Net 45
C00617,V00379,2022-03-04,2026-03-03,0.085,40978.72,Net 60
C00618,V00379,2023-05-29,2025-05-28,0.202,92344.92,Net 60
C00619,V00179,2023-07-11,2026-07-10,0.099,295173.04,Net 45
C00620,V00179,2022-05-30,2024-05-29,0.208,319775.36,Net 15
C00621,V00042,2022-11-16,2024-11-15,0.226,49554.08,Net 30
C00622,V00042,2022-07-14,2024-07-13,0.235,356303.21,Net 60
C00623,V00499,2023-11-13,2026-11-12,0.188,111018.51,Net 60
C00624,V00499,2024-04-18,2028-04-17,0.14,127234.34,Net 45
C00625,V00422,2023-07-16,2025-07-15,0.169,361427.39,Net 30
C00626,V00422,2023-02-08,2026-02-07,0.12,12239.32,Net 45
C00627,V00207,2022-07-17,2026-07-16,0.245,313271.26,Net 45
C00628,V00283,2024-03-27,2026-03-27,0.105,104922.31,Net 45
C00629,V00283,2022-05-08,2025-05-07,0.15,88282.2,Net 30
C00630,V00255,2022-04-23,2025-04-22,0.107,222989.1,Net 60
C00631,V00413,2023-10-28,2026-10-27,0.059,372804.27,Net 45
C00632,V00413,2022-11-17,2024-11-16,0.207,247680.08,Net 30
C00633,V00005,2023-01-27,2025-01-26,0.194,300426.26,Net 60
C00634,V00257,2023-12-22,2026-12-21,0.096,63965.11,Net 45
C00635,V00257,2022-08-14,2024-08-13,0.097,212171.77,Net 45
C00636,V00449,2023-08-11,2025-08-10,0.065,296695.21,Net 30
C00637,V00101,2022-08-15,2024-08-14,0.093,308622.44,Net 45
C00638,V00101,2023-07-02,2026-07-01,0.125,234292.69,Net 45
C00639,V00101,2023-10-19,2026-10-18,0.245,109083.34,Net 45
C00640,V00227,2022-09-17,2026-09-16,0.062,76885.73,Net 15
C00641,V00430,2024-05-07,2026-05-07,0.202,117728.25,Net 60
C00642,V00430,2022-01-25,2026-01-24,0.081,399337.05,Net 45
C00643,V00214,2024-02-11,2028-02-10,0.221,52372.42,Net 15
C00644,V00214,2024-03-08,2026-03-08,0.168,420124.62,Net 60
C00645,V00172,2022-07-07,2025-07-06,0.197,130860.55,Net 60
C00646,V00099,2023-07-07,2025-07-06,0.228,299968.1,Net 45
C00647,V00099,2022-06-21,2026-06-20,0.23,214708.21,Net 30
C00648,V00293,2022-12-23,2025-12-22,0.197,257066.0,Net 15
C00649,V00216,2023-08-12,2026-08-11,0.212,351360.22,Net 30
C00650,V00216,2023-12-16,2026-12-15,0.149,50714.85,Net 30
C00651,V00062,2023-12-25,2026-12-24,0.24,75028.88,Net 60
C00652,V00062,2022-08-07,2024-08-06,0.18,54457.46,Net 15
C00653,V00048,2022-12-18,2024-12-17,0.191,430381.83,Net 30
C00654,V00048,2022-08-08,2025-08-07,0.143,77925.72,Net 15
C00655,V00033,2023-08-05,2026-08-04,0.175,354912.01,Net 30
C00656,V00268,2022-03-06,2024-03-05,0.127,348467.81,Net 30
C00657,V00268,2024-03-20,2027-03-20,0.135,142196.8,Net 45
C00658,V00268,2022-01-11,2024-01-11,0.174,174490.39,Net 30
C00659,V00328,2022-11-25,2025-11-24,0.228,64373.61,Net 60
C00660,V00328,2022-10-16,2025-10-15,0.174,189129.86,Net 45
C00661,V00201,2022-12-19,2024-12-18,0.162,389052.0,Net 45
C00662,V00201,2024-02-04,2027-02-03,0.098,65643.26,Net 15
C00663,V00447,2023-01-19,2027-01-18,0.224,354393.37,Net 45
C00664,V00447,2023-05-13,2026-05-12,0.121,141005.35,Net 15
C00665,V00028,2022-06-07,2024-06-06,0.125,231681.22,Net 30
C00666,V00425,2023-03-06,2027-03-05,0.186,271099.18,Net 60
C00667,V00425,2024-06-18,2027-06-18,0.174,401952.89,Net 30
C00668,V00231,2022-03-08,2025-03-07,0.067,201434.43,Net 45
C00669,V00261,2023-06-20,2025-06-19,0.072,145211.94,Net 45
C00670,V00289,2022-01-13,2024-01-13,0.154,317365.34,Net 60
C00671,V00289,2022-07-16,2025-07-15,0.244,275303.13,Net 45
